tomo_id,voxel_spacing_angstroms
tomo_003acc,6.5
tomo_00e047,15.6
tomo_00e463,19.7
tomo_01a877,13.1
tomo_02862f,15.6
tomo_0308c5,15.6
tomo_0333fa,16.8
tomo_033ebe,13.1
tomo_03437b,15.6
tomo_0363f2,13.1
tomo_040b80,16.1
tomo_049310,19.7
tomo_04d42b,13.3
tomo_05b39c,13.1
tomo_05df8a,15.6
tomo_05f919,15.6
tomo_066095,15.6
tomo_06e11e,15.6
tomo_072a16,16.8
tomo_081a2d,15.6
tomo_08446f,19.7
tomo_087d64,13.1
tomo_08a6d6,13.1
tomo_08bf73,16.1
tomo_098751,16.1
tomo_0a180f,13.1
tomo_0a8f05,13.1
tomo_0c2749,15.6
tomo_0c3a99,15.6
tomo_0c3d78,13.1
tomo_0d4c9e,15.6
tomo_0da370,13.1
tomo_0de3ee,13.1
tomo_0e9757,16.8
tomo_0eb41e,16.8
tomo_0eb994,15.6
tomo_0f9df0,15.6
tomo_0fab19,15.6
tomo_0fe63f,13.1
tomo_101279,13.1
tomo_10a3bd,13.3
tomo_10c564,13.1
tomo_122a02,15.6
tomo_122c46,16.8
tomo_12f896,13.1
tomo_13484c,15.6
tomo_134bb0,15.6
tomo_136c8d,19.7
tomo_138018,15.6
tomo_13973d,19.7
tomo_139d9e,15.6
tomo_1446aa,13.1
tomo_146de2,16.1
tomo_16136a,16.8
tomo_161683,15.6
tomo_16efa8,13.1
tomo_16fce8,15.6
tomo_17143f,15.6
tomo_172f08,13.1
tomo_180bfd,16.8
tomo_183270,13.1
tomo_191bcb,13.1
tomo_19a313,13.1
tomo_19a4fd,16.8
tomo_1ab322,15.6
tomo_1af88d,13.1
tomo_1b82d1,19.7
tomo_1c2534,13.1
tomo_1c38fd,15.6
tomo_1c75ac,15.6
tomo_1cc887,15.6
tomo_1da097,13.1
tomo_1da0da,13.1
tomo_1dc5f9,19.7
tomo_1e9980,16.8
tomo_1efc28,15.6
tomo_1f0e78,15.6
tomo_1fb6a7,16.8
tomo_20a9ed,13.1
tomo_210371,15.6
tomo_221a47,13.1
tomo_221c8e,16.8
tomo_225d8f,13.1
tomo_226cd8,13.1
tomo_22976c,13.1
tomo_229f0a,16.8
tomo_23a8e8,15.6
tomo_23c8a4,16.8
tomo_23ce49,15.6
tomo_247826,16.8
tomo_24795a,15.6
tomo_2483bb,15.6
tomo_24a095,13.1
tomo_24fda8,15.6
tomo_256717,15.6
tomo_25780f,13.1
tomo_2645a0,16.8
tomo_278194,19.2
tomo_285454,16.1
tomo_285d15,13.1
tomo_288d4f,16.8
tomo_28f9c1,16.1
tomo_2a6091,13.1
tomo_2a6ca2,13.1
tomo_2a89bb,16.1
tomo_2acf68,13.1
tomo_2aeb29,13.1
tomo_2b3cdf,13.1
tomo_2b996c,16.8
tomo_2bb588,13.1
tomo_2c607f,13.1
tomo_2c8ea2,15.6
tomo_2c9da1,13.1
tomo_2c9f35,16.8
tomo_2cace2,16.8
tomo_2daaee,19.7
tomo_2dcd5c,13.1
tomo_2dd6bd,16.8
tomo_2e1f4c,15.6
tomo_2f3261,13.1
tomo_2fb12d,16.8
tomo_2fc82d,16.8
tomo_305c97,15.6
tomo_307f33,16.1
tomo_30b580,13.1
tomo_30d4e5,15.6
tomo_317656,13.1
tomo_3183d2,15.6
tomo_319f79,13.1
tomo_3264bc,16.8
tomo_32aaa7,13.1
tomo_331130,13.1
tomo_35ec84,16.1
tomo_369cce,13.1
tomo_37076e,13.1
tomo_372690,13.1
tomo_372a5c,15.6
tomo_374ca7,13.1
tomo_375513,13.1
tomo_378f43,13.1
tomo_37c426,15.6
tomo_37dd38,19.7
tomo_381add,19.7
tomo_385eb6,16.8
tomo_38c2a6,13.1
tomo_38d285,13.1
tomo_399bd9,13.1
tomo_39b15b,16.1
tomo_3a0914,16.1
tomo_3a3519,15.6
tomo_3a6a9d,13.3
tomo_3a8480,19.7
tomo_3b1cc9,13.1
tomo_3b7a22,13.1
tomo_3b8291,19.7
tomo_3b83c7,13.1
tomo_3c6038,15.6
tomo_3e6ead,16.8
tomo_3e7407,19.7
tomo_3e7783,13.1
tomo_3eb9c8,13.1
tomo_401341,13.1
tomo_4077d8,15.6
tomo_40b215,16.1
tomo_4102f1,15.6
tomo_412d88,15.6
tomo_417e5f,15.6
tomo_41ea80,13.3
tomo_423d52,13.1
tomo_444829,13.1
tomo_4469a7,16.8
tomo_4555b6,19.7
tomo_455dcd,13.1
tomo_46250a,15.6
tomo_464108,13.1
tomo_466489,16.8
tomo_47ac94,15.6
tomo_47c399,13.1
tomo_47d380,13.1
tomo_48dc93,19.7
tomo_4925ee,19.2
tomo_493bea,13.1
tomo_49725c,15.6
tomo_499ee0,16.8
tomo_49f4ee,13.1
tomo_4b124b,13.1
tomo_4b59a2,13.1
tomo_4baff0,16.1
tomo_4c1ca8,13.1
tomo_4c2e4e,16.8
tomo_4d528f,16.1
tomo_4e1b18,19.7
tomo_4e38b8,15.6
tomo_4e3e37,13.1
tomo_4e41c2,13.1
tomo_4e478f,15.6
tomo_4ed9de,15.6
tomo_4ee35e,15.6
tomo_4f379f,15.6
tomo_4f5a7b,13.1
tomo_507b7a,13.1
tomo_50cbd9,13.1
tomo_50f0bf,16.1
tomo_510f4e,16.8
tomo_512f98,13.1
tomo_513010,13.1
tomo_516cdd,15.6
tomo_517f70,13.1
tomo_518a1f,15.6
tomo_51a47f,15.6
tomo_51a77e,13.1
tomo_5308e8,16.1
tomo_532d49,15.6
tomo_539259,16.8
tomo_53c71b,13.1
tomo_53e048,13.1
tomo_54e1a7,16.8
tomo_556257,15.6
tomo_568537,13.1
tomo_569981,13.1
tomo_56b9a3,13.1
tomo_57592d,15.6
tomo_5764d6,13.1
tomo_57c814,13.1
tomo_5984bf,13.1
tomo_59b470,15.6
tomo_5b087f,15.6
tomo_5b34b2,13.1
tomo_5b359d,13.1
tomo_5b8db4,13.1
tomo_5ba0cf,19.7
tomo_5bb31c,19.3
tomo_5d01e8,13.3
tomo_5d4c65,13.1
tomo_5d798e,15.6
tomo_5dd63d,13.1
tomo_5e2a91,15.6
tomo_5f1f0c,16.8
tomo_5f235a,13.1
tomo_5f34b3,19.7
tomo_603e40,13.1
tomo_60d478,13.1
tomo_60ddbd,13.1
tomo_616f0b,15.6
tomo_61e947,13.1
tomo_622ca9,13.1
tomo_62dbea,13.1
tomo_62eea8,13.1
tomo_6303f0,13.1
tomo_634b06,13.1
tomo_63e635,13.1
tomo_640a74,13.1
tomo_643b20,13.1
tomo_646049,15.6
tomo_6478e5,16.8
tomo_648adf,15.6
tomo_651ec2,16.1
tomo_651ecd,13.1
tomo_6521dc,15.6
tomo_656915,19.7
tomo_6607ec,15.6
tomo_66285d,13.1
tomo_672101,13.1
tomo_6733fa,13.1
tomo_675583,16.8
tomo_67565e,15.6
tomo_676744,16.8
tomo_67717e,15.6
tomo_67ff4e,16.1
tomo_68e123,15.6
tomo_692081,16.1
tomo_6943e6,16.8
tomo_69d7c9,16.8
tomo_6a6a3b,13.1
tomo_6a84b7,13.1
tomo_6acb9e,13.1
tomo_6b1fd3,19.7
tomo_6bb452,13.1
tomo_6bc974,13.1
tomo_6c203d,13.1
tomo_6c4df3,19.7
tomo_6c5a26,15.6
tomo_6cb0f0,13.1
tomo_6cf2df,13.1
tomo_6d22d1,13.1
tomo_6df2d6,13.1
tomo_6e196d,13.3
tomo_6e237a,15.6
tomo_6f0ee4,15.6
tomo_6f2c1f,13.1
tomo_6f83d4,13.1
tomo_7036ee,13.1
tomo_711fad,19.7
tomo_71d2c0,19.3
tomo_71ece1,13.1
tomo_72763e,15.6
tomo_72b187,13.1
tomo_73173f,13.2
tomo_736dfa,13.1
tomo_738500,15.6
tomo_746d88,19.3
tomo_754447,19.7
tomo_7550f4,16.8
tomo_769126,13.1
tomo_76a42b,13.1
tomo_774aae,16.1
tomo_78b03d,16.8
tomo_79756f,15.6
tomo_79a385,15.6
tomo_79d622,13.1
tomo_7a49bd,13.3
tomo_7a9b64,13.1
tomo_7b1ee3,13.1
tomo_7ca7c0,15.6
tomo_7cf523,16.8
tomo_7dc063,13.1
tomo_7dcfb8,16.8
tomo_7e3494,16.1
tomo_7eb641,15.6
tomo_7f0184,13.1
tomo_7fa3b1,19.2
tomo_7fbc49,13.1
tomo_806a8f,13.1
tomo_80bf0f,16.8
tomo_813916,13.1
tomo_81445c,13.1
tomo_8174f5,13.3
tomo_821255,15.6
tomo_823bc7,13.1
tomo_82d780,15.6
tomo_8351d1,13.3
tomo_84997e,15.6
tomo_8554af,15.6
tomo_85708b,16.1
tomo_85edfd,16.8
tomo_85fa87,15.6
tomo_8634ee,13.1
tomo_868255,15.6
tomo_881d84,16.8
tomo_88af60,13.3
tomo_891730,13.1
tomo_891afe,16.8
tomo_89d156,13.1
tomo_8acc4b,13.3
tomo_8b6795,13.1
tomo_8c13d9,13.1
tomo_8d231b,15.6
tomo_8d2d48,19.7
tomo_8d5995,15.6
tomo_8e30f5,15.6
tomo_8e4919,15.6
tomo_8e4f7d,13.1
tomo_8e58f1,15.6
tomo_8e8368,15.6
tomo_8e90f9,16.8
tomo_8ee8fd,16.1
tomo_8f063a,13.1
tomo_8f4d60,15.6
tomo_8f5995,13.1
tomo_91031e,16.8
tomo_918e2b,13.1
tomo_91beab,19.7
tomo_91c84c,15.6
tomo_935ae0,13.1
tomo_935f8a,16.8
tomo_93c0b4,13.1
tomo_94a841,15.6
tomo_94c173,13.1
tomo_957567,13.1
tomo_95c0eb,13.1
tomo_95e699,13.1
tomo_9674bf,13.1
tomo_971966,16.1
tomo_9722d1,19.7
tomo_974fd4,16.8
tomo_975287,19.7
tomo_97876d,13.1
tomo_97a2c6,15.6
tomo_983fce,13.1
tomo_98686a,13.1
tomo_98d455,15.6
tomo_997240,19.7
tomo_997437,15.6
tomo_9986f0,13.1
tomo_9997b3,15.6
tomo_99a3ce,13.1
tomo_9a7701,19.7
tomo_9ae65f,19.7
tomo_9aee96,13.1
tomo_9c0253,13.1
tomo_9cd09e,13.1
tomo_9cde9d,19.3
tomo_9d3a0e,13.1
tomo_9dbc12,16.1
tomo_9ed470,15.6
tomo_9f1828,15.6
tomo_9f222a,16.8
tomo_9f424e,19.3
tomo_9f918e,16.1
tomo_9fc2b6,13.1
tomo_a020d7,13.1
tomo_a0cb00,13.1
tomo_a1a9a3,15.6
tomo_a2a928,16.8
tomo_a2bf30,16.8
tomo_a37a5c,15.6
tomo_a3ed10,13.1
tomo_a46b26,15.6
tomo_a4c52f,15.6
tomo_a4f419,16.1
tomo_a537dd,15.6
tomo_a549d6,13.1
tomo_a5ac23,15.6
tomo_a6646f,13.1
tomo_a67e9f,19.7
tomo_a72a52,13.1
tomo_a75c98,13.1
tomo_a8073d,13.1
tomo_a81e01,15.6
tomo_a84050,13.1
tomo_a8bf76,13.1
tomo_a910fe,13.1
tomo_a9d067,19.7
tomo_aaa1fd,15.6
tomo_ab30af,13.3
tomo_ab78d0,13.1
tomo_ab804d,13.1
tomo_abac2e,15.6
tomo_abb45a,13.1
tomo_abbd3b,19.3
tomo_ac4f0d,16.1
tomo_ac9fef,19.7
tomo_acadd7,15.6
tomo_adc026,15.6
tomo_ae347a,19.7
tomo_aeaf51,13.3
tomo_aec312,19.7
tomo_aff073,16.1
tomo_b03f81,13.1
tomo_b0ded6,19.7
tomo_b0e5c6,15.6
tomo_b10aa4,15.6
tomo_b11ddc,19.2
tomo_b18127,19.7
tomo_b24f1a,15.6
tomo_b28579,13.1
tomo_b2b342,15.6
tomo_b2eb0c,13.3
tomo_b2ebbc,13.1
tomo_b33d4e,13.1
tomo_b4a1f0,19.7
tomo_b4d92b,13.1
tomo_b4d9da,13.1
tomo_b50c0f,15.6
tomo_b54396,13.1
tomo_b7becf,13.1
tomo_b7d014,13.1
tomo_b7d94c,13.1
tomo_b80310,13.1
tomo_b8595d,16.8
tomo_b87c8e,13.1
tomo_b8f096,13.1
tomo_b9088c,15.6
tomo_b93a2d,16.8
tomo_b98cf6,13.1
tomo_b9de3e,13.3
tomo_b9eb9a,15.6
tomo_ba37ec,15.6
tomo_ba76d8,19.3
tomo_ba9b3d,15.6
tomo_bad724,13.1
tomo_bad7b3,15.6
tomo_bb5ac1,16.8
tomo_bb9df3,15.6
tomo_bbe766,15.6
tomo_bc143f,19.7
tomo_bcb115,16.8
tomo_bd42fa,13.1
tomo_bdc097,16.8
tomo_bdd3a0,15.6
tomo_bde7f3,13.1
tomo_be4a3a,15.6
tomo_be9b98,13.1
tomo_bebadf,13.1
tomo_bede89,13.1
tomo_bf1398,19.7
tomo_bfd5ea,16.1
tomo_bfdf19,15.6
tomo_c00ab5,13.1
tomo_c10f64,19.2
tomo_c11e12,15.6
tomo_c13fbf,19.7
tomo_c3619a,16.8
tomo_c36b4b,16.8
tomo_c36baf,13.1
tomo_c38e83,13.1
tomo_c46d3c,13.1
tomo_c4a4bb,13.1
tomo_c4bfe2,13.1
tomo_c4db00,13.1
tomo_c596be,13.1
tomo_c649f8,13.1
tomo_c678d9,16.8
tomo_c6f50a,16.8
tomo_c77de0,6.5
tomo_c7a40f,13.3
tomo_c7b008,15.6
tomo_c84b46,16.8
tomo_c84b8e,13.1
tomo_c8f3ce,15.6
tomo_c925ee,13.1
tomo_c9d07c,16.1
tomo_ca1d13,13.1
tomo_ca472a,13.1
tomo_ca8be0,19.3
tomo_cabaa0,19.7
tomo_cacb75,15.6
tomo_cad74b,13.1
tomo_cae587,15.6
tomo_cb5ec6,16.1
tomo_cc2b5c,16.8
tomo_cc3fc4,13.1
tomo_cc65a9,15.6
tomo_cd1a7c,16.8
tomo_cf0875,13.1
tomo_cf53d0,13.1
tomo_cf5bfc,13.1
tomo_cff77a,15.6
tomo_d0699e,16.8
tomo_d0aa3b,15.6
tomo_d0c025,13.1
tomo_d0d9b6,13.1
tomo_d21396,15.6
tomo_d23087,13.1
tomo_d2339b,13.1
tomo_d26fcb,13.1
tomo_d2b1bc,13.1
tomo_d31c96,13.1
tomo_d396b5,15.6
tomo_d3bef7,13.1
tomo_d5465a,13.1
tomo_d56709,19.7
tomo_d5aa20,16.1
tomo_d634b7,13.1
tomo_d662b0,19.7
tomo_d6c63f,13.1
tomo_d6e3c7,16.8
tomo_d723cd,16.1
tomo_d7475d,15.6
tomo_d83ff4,15.6
tomo_d84544,13.1
tomo_d8c917,13.1
tomo_d916dc,16.8
tomo_d96d6e,13.1
tomo_d9a2af,13.1
tomo_da38ea,15.6
tomo_da79d8,19.7
tomo_dae195,16.1
tomo_db2a10,16.8
tomo_db4517,13.1
tomo_db6051,13.1
tomo_db656f,15.6
tomo_dbc66d,16.8
tomo_dc9a96,13.3
tomo_dcb9b4,15.6
tomo_dd36c9,16.1
tomo_decb81,15.6
tomo_dee783,15.6
tomo_df866a,16.8
tomo_dfc627,13.1
tomo_dfdc32,19.7
tomo_e0739f,16.8
tomo_e1a034,19.2
tomo_e1e5d3,13.1
tomo_e22370,19.7
tomo_e26c6b,15.6
tomo_e2a336,19.3
tomo_e2ccab,15.6
tomo_e2da77,13.1
tomo_e32b81,15.6
tomo_e34af8,15.6
tomo_e3864f,19.3
tomo_e50f04,16.8
tomo_e51e5e,15.6
tomo_e55f81,16.8
tomo_e57baf,15.6
tomo_e5a091,16.8
tomo_e5ac94,13.1
tomo_e61cdf,15.6
tomo_e63ab4,13.1
tomo_e685b8,15.6
tomo_e6f7f7,13.1
tomo_e71210,15.6
tomo_e72e60,13.1
tomo_e764a7,16.8
tomo_e77217,13.1
tomo_e7c195,16.8
tomo_e81143,15.6
tomo_e8db69,16.8
tomo_e96200,16.8
tomo_e9b7f2,15.6
tomo_e9fa5f,13.1
tomo_ea3f3a,16.8
tomo_eb26ee,13.3
tomo_eb4fd4,15.6
tomo_ec1314,15.6
tomo_ec607b,13.1
tomo_ecbc12,13.1
tomo_ed1c97,19.7
tomo_ede779,15.6
tomo_ef1a1a,19.2
tomo_efe1f8,13.1
tomo_f07244,13.1
tomo_f0adfc,13.1
tomo_f1bf2f,13.1
tomo_f2fa4a,15.6
tomo_f36495,13.1
tomo_f3e449,15.6
tomo_f427b3,15.6
tomo_f672c0,13.1
tomo_f6a38a,19.7
tomo_f6de9b,16.1
tomo_f71c16,16.1
tomo_f76529,15.6
tomo_f78e91,13.1
tomo_f7f28b,15.6
tomo_f82a15,16.1
tomo_f871ad,13.1
tomo_f8b46e,13.1
tomo_f8b835,13.1
tomo_f94504,16.1
tomo_fa5d78,13.1
tomo_fadbe2,13.1
tomo_fb08b5,15.6
tomo_fb6ce6,13.2
tomo_fbb49b,16.8
tomo_fc1665,13.1
tomo_fc3c39,16.8
tomo_fc5ae4,13.1
tomo_fc90fd,6.5
tomo_fd41c4,16.8
tomo_fd5b38,16.8
tomo_fd9357,15.6
tomo_fe050c,15.6
tomo_fe85f6,13.1
tomo_fea6e8,16.8
tomo_ff505c,15.6
tomo_ff7c20,13.1
